Episode, Loss, Epsilon, Steps
1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,3.000000000000000000e+01
2.000000000000000000e+00,8.323136637465270469e+05,8.999555000000000193e-01,5.700000000000000000e+01
3.000000000000000000e+00,2.910536650789650530e+07,8.999154500000000612e-01,9.300000000000000000e+01
4.000000000000000000e+00,6.404189513409080915e+06,8.998620499999999689e-01,1.160000000000000000e+02
5.000000000000000000e+00,2.758047388117681816e+07,8.998279333333333296e-01,1.450000000000000000e+02
6.000000000000000000e+00,3.662690961538715754e+06,8.997849166666667120e-01,1.720000000000000000e+02
7.000000000000000000e+00,3.585929651581028011e+06,8.997448666666666428e-01,1.990000000000000000e+02
8.000000000000000000e+00,2.869215779489832744e+07,8.997048166666666846e-01,2.380000000000000000e+02
9.000000000000000000e+00,2.619077442543968931e+07,8.996469666666666587e-01,2.640000000000000000e+02
1.000000000000000000e+01,6.367690146253821440e+06,8.996083999999999747e-01,2.880000000000000000e+02
1.100000000000000000e+01,4.366943902360269800e+06,8.995728000000000613e-01,3.250000000000000000e+02
1.200000000000000000e+01,1.975926604344929755e+07,8.995179166666666948e-01,3.580000000000000000e+02
1.300000000000000000e+01,5.066798803595285863e+06,8.994689666666666472e-01,3.960000000000000000e+02
1.400000000000000000e+01,1.729377450713175163e+07,8.994126000000000065e-01,4.170000000000000000e+02
1.500000000000000000e+01,4.492949517499788851e+07,8.993814500000000267e-01,4.460000000000000000e+02
1.600000000000000000e+01,2.695749475986207370e+06,8.993384333333334091e-01,4.720000000000000000e+02
1.700000000000000000e+01,4.533650568455801159e+07,8.992998666666667251e-01,5.040000000000000000e+02
1.800000000000000000e+01,1.961819495335030137e+06,8.992524000000000628e-01,5.290000000000000000e+02
1.900000000000000000e+01,2.711060965491541848e+07,8.992153166666666531e-01,5.610000000000000000e+02
2.000000000000000000e+01,2.458952439303472172e+06,8.991678499999999907e-01,5.880000000000000000e+02
2.100000000000000000e+01,2.749065094187254086e+07,8.991278000000000326e-01,6.210000000000000000e+02
2.200000000000000000e+01,2.742563879623119533e+07,8.990788499999999850e-01,6.470000000000000000e+02
2.300000000000000000e+01,7.421302989454750717e+07,8.990402833333333010e-01,7.030000000000000000e+02
2.400000000000000000e+01,3.466509090631630272e+07,8.989572166666667252e-01,7.280000000000000000e+02
2.500000000000000000e+01,1.478464407540297695e+07,8.989201333333333155e-01,7.610000000000000000e+02
2.600000000000000000e+01,3.255424484832426067e+06,8.988711833333333789e-01,7.860000000000000000e+02
2.700000000000000000e+01,1.257454649626962468e+07,8.988340999999999692e-01,8.110000000000000000e+02
2.800000000000000000e+01,6.615475926531461067e+06,8.987970166666666705e-01,8.630000000000000000e+02
2.900000000000000000e+01,2.669683156174158305e+07,8.987198833333333026e-01,8.900000000000000000e+02
3.000000000000000000e+01,2.464716331218884513e+07,8.986798333333333444e-01,9.540000000000000000e+02
3.100000000000000000e+01,2.718605906863705069e+07,8.985849000000000197e-01,9.740000000000000000e+02
3.200000000000000000e+01,2.825413116635192186e+07,8.985552333333333141e-01,1.000000000000000000e+03
3.300000000000000000e+01,1.777769950494000688e+07,8.985166666666667412e-01,1.046000000000000000e+03
3.400000000000000000e+01,2.866738807115170173e+06,8.984484333333333517e-01,1.075000000000000000e+03
3.500000000000000000e+01,3.024885943902703468e+06,8.984054166666667340e-01,1.103000000000000000e+03
3.600000000000000000e+01,2.030026485181725770e+07,8.983638833333333906e-01,1.128000000000000000e+03
3.700000000000000000e+01,4.475697242525511421e+06,8.983267999999999809e-01,1.163000000000000000e+03
3.800000000000000000e+01,1.896066319930870086e+07,8.982748833333333849e-01,1.189000000000000000e+03
3.900000000000000000e+01,3.859506396453344263e+06,8.982363166666667009e-01,1.222000000000000000e+03
4.000000000000000000e+01,3.488355039821238071e+07,8.981873666666666534e-01,1.258000000000000000e+03
4.100000000000000000e+01,2.748567695235144719e+07,8.981339666666666721e-01,1.290000000000000000e+03
4.200000000000000000e+01,3.777931904863440432e+06,8.980865000000000098e-01,1.321000000000000000e+03
4.300000000000000000e+01,1.352331042031457834e+07,8.980405166666667327e-01,1.374000000000000000e+03
4.400000000000000000e+01,3.650573471442452818e+07,8.979618999999999795e-01,1.415000000000000000e+03
4.500000000000000000e+01,1.128789200047911331e+07,8.979010833333334052e-01,1.440000000000000000e+03
